,wikidata_id,wikiart_id
0,Q860930,pablo-picasso/portrait-of-gertrude-stein-1906
1,Q28537189,henri-matisse/portrait-of-andre-derain-1905
2,Q124289912,giovanni-bellini/four-allegories-falsehood-wisdom
3,Q195776,salvador-dali/the-lugubrious-game-1929-oil-collage-on-cardboard-1929
4,Q28798159,rosalba-carriera/a-venetian-lady-from-the-house-of-barbarigo-caterina-sagredo-barbarigo-1735
5,Q3778533,henri-rousseau/war-or-the-ride-of-discord-1894
6,Q29017592,artemisia-gentileschi/david-and-bathsheba-1637
7,Q73190680,georges-de-la-tour/st-philippe
8,Q136001420,jules-bastien-lepage/jeune-garcon-a-la-plage-1880
9,Q115618660,henri-matisse/ivy-in-flower-1941
10,Q126287621,carl-spitzweg/girl-with-goat-1861
11,Q61893530,jean-honore-fragonard/the-small-park-1763
12,Q107254887,ilya-mashkov/natyurmort-s-tsvetami-1912
13,Q121267513,henri-matisse/young-girl-in-a-persian-dress-1942
14,Q1293985,gustave-courbet/young-ladies-on-the-banks-of-the-seine-summer-1857
15,Q3937586,amedeo-modigliani/portrait-of-jeanne-hebuterne-1918-3
16,Q335051,salvador-dali/the-invisible-man-1933
17,Q113669703,henri-rousseau/exotic-landscape-1910
18,Q18927476,robert-delaunay/the-city-of-paris
19,Q18437008,salvador-dali/melting-watch
20,Q3312011,paul-cezanne/large-bathers-1900
21,Q19925203,william-adolphe-bouguereau/head-of-a-young-girl-1898
22,Q107630974,lyonel-feininger/the-dome-in-halle-1930
23,Q94996515,gustave-moreau/oedipus-the-wayfarer
24,Q128640066,gerhard-richter/townscape-pl-1970-1
25,Q2105253,carolus-duran/lady-with-a-glove-1869
26,Q19920959,joan-miro/dutch-interior
27,Q17631819,henri-matisse/odalisque-in-red-pants-1925
28,Q60595491,juan-gris/still-life-on-a-chair-1917
29,Q64491321,henry-ossawa-tanner/the-pilgrims-of-emmaus-1905
30,Q24089231,vasily-vereshchagin/uzbek-woman-in-tashkent-1873
31,Q18744757,paul-signac/grand-canal-venise-1905
32,Q119346104,pauline-boty/colour-her-gone-1962
33,Q3221144,salvador-dali/the-path-of-enigma
34,Q46955783,amedeo-modigliani/max-jacob
35,Q73119033,henri-rousseau/cliffs
36,Q23946,domenico-ghirlandaio/the-visitation-1491
37,Q1154410,giorgio-de-chirico/the-song-of-love-1914
38,Q61686623,henri-matisse/odalisque-in-red-culottes-1921
39,Q130396727,john-french-sloan/monument-in-the-plaza-new-york-1949
40,Q125184254,carlo-carra/the-drunken-gentleman-1916
41,Q67959121,henri-matisse/laurette-in-a-white-turban
42,Q60423339,georges-braque/viaduct-at-l-estaque-1908
43,Q3796269,marc-chagall/the-fiddler-1913
44,Q3793584,amedeo-modigliani/the-little-peasant-1918
45,Q8030721,henri-matisse/woman-in-a-purple-coat-1937
46,Q72273730,carolus-duran/portrait-of-madame-ernest-faydeau-known-as-la-dame-au-chien-1870
47,Q3937760,amedeo-modigliani/madame-georges-van-muyden-1917
48,Q124627592,alexej-von-jawlensky/young-girl-with-peonies-1909
49,Q104424977,henri-matisse/odalisque-with-a-turkish-chair-1928
50,Q20188943,amedeo-modigliani/seated-nude-1909
51,Q115159131,otto-mueller/gypsy-horse-at-black-water-1928
52,Q4768963,henri-matisse/annelies-white-tulips-and-anemones-1944
53,Q57933100,franz-xaver-winterhalter/elizabeth-empress-of-austria-1865
54,Q117435189,amedeo-modigliani/beatrice-hastings-1914
55,Q61678241,henri-matisse/the-pink-studio-1911
56,Q2592400,franz-marc/blue-horse-i-1911
57,Q17627562,jean-leon-gerome/the-bacchante
58,Q115943056,suzanne-valadon/the-two-bathers-1923
59,Q20881553,henri-matisse/tea-in-the-garden-1919
60,Q3937477,amedeo-modigliani/portrait-of-frank-haviland-burty-1914
61,Q30076421,emil-nolde/dance-around-the-golden-calf-1910
62,Q118895167,georges-de-la-tour/the-dice-players-1651
63,Q9077269,joan-miro/ciphers-and-constellations-in-love-with-a-woman
64,Q74049562,john-singer-sargent/mrs-abbott-lawrence-rotch-1903
65,Q112676095,henri-matisse/joaquina
66,Q3835870,marc-chagall/mirror-1915
67,Q123753616,titian/adoration-of-the-shepherds-1533
68,Q20087546,gustave-courbet/the-beach-at-palavas-1854
69,Q17491975,rosa-bonheur/haymaking-in-the-auvergne-1858
70,Q125163459,carlo-carra/la-musa-metafisica-1917
71,Q6119716,hendrick-terbrugghen/st-sebastian-tended-by-irene-and-her-maid-1625
72,Q11918714,raphael/portrait-of-pope-julius-ii
73,Q326503,gustave-courbet/the-sleepers-1866
74,Q131787161,tarsila-do-amaral/composition-lonely-figure-1930
75,Q15974328,paolo-uccello/the-annunciation
76,Q124259637,gilles-aillaud/la-bataille-du-riz-1968
77,Q19882802,joan-miro/the-tilled-field-1924
78,Q23010133,artemisia-gentileschi/self-portrait-as-a-lute-player-1617
79,Q30075687,georges-braque/woman-with-a-mandolin-1910
80,Q28130699,henri-rousseau/woman-walking-in-an-exotic-forest-1905
81,Q113669665,henri-rousseau/apes-in-the-orange-grove
82,Q3955877,pablo-picasso/the-serenade-1942
83,Q61386805,othon-friesz/the-port-of-anvers-1906
84,Q64506466,lyonel-feininger/gelmeroda-viii-1921
85,Q18917022,paul-delaroche/girl-in-a-basin
86,Q114065766,frantisek-kupka/money-1899
87,Q3210253,georges-de-la-tour/mary-magdalene-with-a-night-light-1635
88,Q64766792,titian/cardinal-alessandro-farnese-1546
89,Q14127232,rosa-bonheur/plowing-in-the-nivernais-1849
90,Q3110229,paul-signac/golfe-juan
91,Q50332779,otto-dix/mother-with-child-1921
92,Q131619687,max-ernst/cocktail-drinker-1945
93,Q3213326,henri-matisse/the-king-s-sadness-1952
94,Q18688328,paul-gauguin/what-s-new-1892
95,Q40800173,jean-baptiste-greuze/linconsolable
96,Q2459887,titian/the-tribute-money-1516
97,Q3937476,amedeo-modigliani/portrait-of-blaise-cendrars-1917
98,Q27978033,vincenzo-camuccini/portrait-of-pope-pius-vii-barnaba-chiaramonti-1815
99,Q3222561,max-beckmann/departure-1935
100,Q4188993,edward-burne-jones/the-beguiling-of-merlin-merlin-and-vivien-1874
101,Q61884489,pablo-picasso/bottle-of-black-rum-vive-la-france-1913
102,Q20816337,marcel-duchamp/bride-1912
103,Q20816629,henri-matisse/odalisques-1928
104,Q26713913,gustav-klimt/portrait-of-hermine-gallia-1904
105,Q61520711,joan-miro/painting-head-1927
106,Q19005731,anne-vallayer-coster/still-life-with-tuft-of-marine-plants-shells-and-corals-1769
107,Q123706329,amedeo-modigliani/portrait-of-pinchus-kremenge-1916
108,Q196001,salvador-dali/the-enigma-of-my-desire-or-my-mother-my-mother-my-mother-1929
109,Q60472224,henri-matisse/the-windshield-1917-0
110,Q18748402,bartolomeo-passerotti/portrait-of-pope-pius-v-1566
111,Q17493601,emile-bernard/breton-women-with-parasols-1892
112,Q180632,titian/portrait-of-pope-paul-iii-cardinal-alessandro-farnese-and-duke-ottavio-farnese-1546
113,Q47498725,jacob-jordaens/bagpiper-1644
114,Q18915957,francisco-goya/woman-with-a-fan
115,Q19912798,henri-rousseau/landscape-on-the-banks-of-the-bievre-at-becetre-1909
116,Q60324672,henri-matisse/french-window-at-collioure
117,Q119175651,henri-matisse/teacher-at-the-yellow-table-1944
118,Q114053439,max-beckmann/odysseus-and-calypso-1943
119,Q43281370,frida-kahlo/frieda-and-diego-rivera-1931
120,Q3701418,artemisia-gentileschi/danae-1612
121,Q3698207,marc-chagall/white-crucifixion-1938
122,Q89373106,henri-matisse/the-venetian-1922
123,Q78686187,henri-matisse/dancer-in-repose-1940
124,Q115557906,karel-skreta/portrait-of-ignac-jetrich-vitanovsky-of-vlckovice-1669
125,Q1943810,marc-chagall/homage-to-apollinaire-1912
126,Q29021053,artemisia-gentileschi/judith-and-her-maidservant-with-the-head-of-holofernes-tapestry-1650
127,Q117348200,philip-de-laszlo/portrait-of-ignaz-wechselmann-1894
128,Q62568869,marc-chagall/flayed-ox-1947
129,Q29855485,pierre-narcisse-guerin/not-detected-278720
130,Q21427473,balthus/katia-reading-1974
131,Q117832154,philip-de-laszlo/crown-princess-cecilie-of-prussia-1906
132,Q16670777,giorgio-de-chirico/portrait-of-guillaume-apollinaire-1914
133,Q3399446,henri-rousseau/portrait-of-pierre-loti
134,Q2568873,hugo-van-der-goes/diptych-of-the-fall-of-man-and-the-redemption-lamentation-of-christ
135,Q117217878,henri-matisse/portrait-de-george-besson-1918
136,Q9169712,hans-memling/bathsheba-in-the-bath-1480
137,Q30072602,rene-magritte/the-interpretation-of-dreams-1927
138,Q131449480,tarsila-do-amaral/the-moon-1928
139,Q10720090,salvador-dali/the-enigma-of-william-tell
140,Q75401507,august-macke/turkish-cafe-ii
141,Q61910937,max-ernst/the-entire-city-1935
142,Q3546916,salvador-dali/raphaelesque-head-exploding
143,Q52159818,nicholas-roerich/messenger-clan-revolted-against-to-clan-1897
144,Q7232252,sebastiano-del-piombo/portrait-of-andrea-doria-1526
145,Q3661648,amedeo-modigliani/cypress-trees-and-house-1919
146,Q74421653,henri-matisse/seated-woman-back-turned-to-the-open-window-1922
147,Q3877556,amedeo-modigliani/sleeping-nude-with-arms-open-red-nude-1917-1
148,Q4247398,kuzma-petrov-vodkin/bathing-the-red-horse-1912
149,Q111659725,lavinia-fontana/bianca-degli-utili-maselli-holding-a-dog-and-surrounded-by-six-of-her-children
